Image Index,Projected Area,Extent X,Extent Y,Eccentricity,Convex Hull Area
1,3490319.0,6616.0,8809.0,0.31959281781861765,47433671.0
2,1568088.0,6900.0,6448.0,0.4444027922122504,40653325.0
3,2571384.5,6936.0,6327.0,0.6575025678779596,35269561.0
4,3996092.5,6936.0,7284.0,0.4901408064028794,44632945.5
5,3942078.5,6936.0,8134.0,0.8306646055166375,46506776.0
6,2346623.0,2980.0,4032.0,0.795782447938132,9851918.5
7,1464276.0,2085.0,2206.0,0.34231685547170676,3905288.5
8,1777492.5,3024.0,3170.0,0.39397912485581293,8975362.5
9,1774000.0,3024.0,3562.0,0.5511152057353165,9185692.0
10,2131313.0,3024.0,4032.0,0.4280249291921377,11630016.5
